window,target,Return,Risk, Residual
6,0.01,-0.00490441,0.0265341,8.12798e-06
6,0.015,-0.00614331,0.0404031,2.30642e-06
6,0.02,-0.00667082,0.0558961,1.89044e-06
6,0.025,-0.00721673,0.0722289,0.00246942
6,0.03,-0.00736006,0.0884669,1.40346e-05
6,0.035,-0.00761045,0.10517,1.21688e-05
6,0.04,-0.00827615,0.122109,0.000131091
6,0.045,-0.00844731,0.139013,4.18746e-05
6,0.05,-0.00861856,0.155797,1.73978e-05
6,0.055,-0.00892167,0.172781,1.21023e-05
6,0.06,-0.00957906,0.190182,8.16326e-05
6,0.065,-0.0104431,0.207596,8.37233e-05
6,0.07,-0.0110212,0.22478,0.000162829
6,0.075,-0.0104011,0.240915,3.1441e-05
6,0.08,-0.0112228,0.258732,0.000139633
6,0.085,-0.0115014,0.275543,5.34821e-05
6,0.09,-0.0123725,0.293332,0.00182331
6,0.095,-0.0124,0.310072,5.73591e-05
6,0.1,-0.0125465,0.326621,0.00136579
7,0,0.00414442,0.0350478,2.24495e-06
7,0.005,0.00333437,0.0448791,5.523e-06
7,0.01,0.00246575,0.0622194,3.16835e-05
7,0.015,0.00186781,0.0826151,2.96502e-06
7,0.02,0.00172777,0.104075,6.05521e-05
7,0.025,0.000503489,0.127221,9.79603e-06
7,0.03,-0.000141294,0.150133,4.62454e-06
7,0.035,-0.000928115,0.173453,0.000116366
7,0.04,-0.000226419,0.195122,0.00013707
7,0.045,-0.0019747,0.219955,5.02516e-06
7,0.05,-0.00234005,0.243147,1.50913e-05
7,0.055,-0.00263149,0.266226,4.09536e-05
7,0.06,-0.00385065,0.290523,6.76457e-06
7,0.065,-0.0044879,0.314107,8.25927e-06
7,0.07,-0.00510394,0.337722,1.13827e-05
7,0.075,-0.00573822,0.361354,9.1227e-06
7,0.08,-0.00694279,0.38569,8.41243e-06
7,0.085,-0.00759785,0.4094,1.28039e-05
7,0.09,-0.00728105,0.431907,0.00037893
7,0.095,-0.00825062,0.456133,1.36865e-05
7,0.1,-0.00886106,0.479758,1.09592e-05
8,0,0.0167128,0.032307,2.36831e-06
8,0.005,0.010808,0.0191128,1.44752e-06
8,0.01,0.00505806,0.0249166,9.72895e-05
8,0.015,-0.00041056,0.0417577,3.51431e-05
8,0.02,-0.0058886,0.0612064,9.9766e-06
8,0.025,-0.0114212,0.0813684,5.04915e-06
8,0.03,-0.0168632,0.101815,2.07504e-05
8,0.035,-0.0224746,0.12234,1.27727e-05
8,0.04,-0.0278458,0.143243,0.000413971
8,0.045,-0.0336562,0.163693,0.000129805
8,0.05,-0.0388803,0.184619,1.1367e-05
8,0.055,-0.0447402,0.205283,8.27812e-06
8,0.06,-0.0500886,0.226153,1.04086e-05
8,0.065,-0.0553639,0.247213,2.56207e-05
8,0.07,-0.0607659,0.267775,1.36468e-05
8,0.075,-0.0666337,0.288726,5.85655e-05
8,0.08,-0.0716806,0.309439,4.92886e-05
8,0.085,-0.0774798,0.330753,2.27198e-05
8,0.09,-0.0826096,0.351272,4.13468e-05
8,0.095,-0.0880539,0.371782,0.000107612
8,0.1,-0.0943699,0.393049,1.81691e-05
9,0,0.00757987,0.0199935,1.32924e-06
9,0.005,0.00584315,0.0202393,8.08405e-05
9,0.01,0.00423943,0.033641,5.57233e-06
9,0.015,0.00234311,0.0515463,4.13441e-06
9,0.02,0.000421272,0.0665851,9.79134e-06
9,0.025,-0.00127591,0.085,3.46056e-05
9,0.03,-0.00347328,0.103797,0.000409305
9,0.035,-0.00538805,0.121511,1.76281e-05
9,0.04,-0.00693594,0.138188,4.83047e-05
9,0.045,-0.00908641,0.156893,1.51938e-05
9,0.05,-0.0110185,0.174922,6.00073e-05
9,0.055,-0.01294,0.1931,0.00145796
9,0.06,-0.0147482,0.21065,0.000867705
9,0.065,-0.0164644,0.228316,2.55055e-05
9,0.07,-0.0125187,0.239321,0.0142054
9,0.075,-0.0207461,0.266149,9.61809e-05
9,0.08,-0.0219609,0.281897,3.55822e-05
9,0.085,-0.0240439,0.300129,4.86211e-05
9,0.09,-0.0265363,0.32051,2.62931e-05
9,0.095,-0.0270636,0.33135,0.00115896
9,0.1,-0.030164,0.354968,3.49764e-05
10,0,0.00472022,0.0183193,2.52808e-06
10,0.005,0.0140126,0.0298559,2.18529e-06
10,0.01,0.0233542,0.0537644,3.23013e-06
10,0.015,0.0324546,0.0790051,3.25767e-05
10,0.02,0.0413204,0.10415,1.09918e-05
10,0.025,0.0508258,0.131163,0.000410664
10,0.03,0.0599258,0.157209,8.04919e-06
10,0.035,0.0679302,0.180767,0.000307689
10,0.04,0.0767835,0.20625,5.88323e-05
10,0.045,0.0869629,0.234187,1.35222e-05
10,0.05,0.0956777,0.259615,6.6695e-05
10,0.055,0.106082,0.287591,0.000197419
10,0.06,0.115039,0.314453,0.000687466
10,0.065,0.121585,0.33518,0.000944661
10,0.07,0.132762,0.365498,1.63016e-05
10,0.075,0.140543,0.38855,3.87928e-05
10,0.08,0.149033,0.413223,4.42989e-05
10,0.085,0.154878,0.431622,0.00123754
10,0.09,0.169082,0.469742,2.35062e-05
10,0.095,0.176525,0.492225,0.000249486
10,0.1,0.188162,0.523728,0.000460394
11,0,-0.00866066,0.0364141,9.08261e-07
11,0.005,-0.00786922,0.0357628,1.26721e-06
11,0.01,-0.00639824,0.057009,2.06517e-06
11,0.015,-0.00517183,0.0854168,2.36093e-06
11,0.02,-0.00400542,0.115963,4.25024e-06
11,0.025,-0.00299765,0.146914,6.8676e-06
11,0.03,-0.00203346,0.178278,4.16666e-06
11,0.035,-0.000943462,0.209925,6.14935e-06
11,0.04,-5.07149e-05,0.240992,0.000150435
11,0.045,0.00121076,0.273442,6.06462e-06
11,0.05,0.00208958,0.304764,1.02804e-05
11,0.055,0.0031428,0.336568,8.82513e-05
11,0.06,0.00420807,0.36841,7.7083e-06
11,0.065,0.00570523,0.401189,1.38294e-05
11,0.07,0.00660202,0.432791,8.81265e-06
11,0.075,0.00741638,0.464026,1.12895e-05
11,0.08,0.00901663,0.497196,0.000113495
11,0.085,0.00955855,0.527858,1.80265e-05
11,0.09,0.0112124,0.560836,1.52494e-05
11,0.095,0.0120162,0.592447,0.000226899
11,0.1,0.0127842,0.62358,5.05251e-05
12,0,0.0136995,0.0210057,0.000868402
12,0.005,0.0064862,0.0319844,9.09057e-07
12,0.01,-0.00135659,0.0475704,8.77399e-07
12,0.015,-0.00957338,0.0646169,6.31302e-05
12,0.02,-0.0176357,0.0822021,1.30044e-06
12,0.025,-0.0260109,0.100115,7.61286e-06
12,0.03,-0.0339958,0.118034,3.12532e-06
12,0.035,-0.0423026,0.136145,0.000247268
12,0.04,-0.0506186,0.154316,5.74058e-06
12,0.045,-0.0578845,0.172278,2.29507e-05
12,0.05,-0.0665737,0.190512,1.56688e-05
12,0.055,-0.073989,0.208626,5.23267e-06
12,0.06,-0.0833656,0.227104,3.64393e-05
12,0.065,-0.0900691,0.245039,8.33064e-05
12,0.07,-0.0998708,0.263574,4.12467e-06
12,0.075,-0.106486,0.281469,7.1643e-05
12,0.08,-0.115699,0.299941,0.000381358
12,0.085,-0.123782,0.318174,6.62911e-06
12,0.09,-0.131943,0.336435,7.27914e-06
12,0.095,-0.140083,0.354696,1.03373e-05
12,0.1,-0.14905,0.373169,7.4944e-06
13,0,-0.00196023,0.0344887,9.66598e-07
13,0.005,0.00308451,0.0426483,9.30652e-07
13,0.01,0.00835097,0.0555864,8.22287e-07
13,0.015,0.0136656,0.0705628,2.76563e-06
13,0.02,0.0189074,0.0864566,1.81923e-06
13,0.025,0.024506,0.102948,1.82941e-06
13,0.03,0.0296577,0.119825,1.27619e-05
13,0.035,0.0348107,0.13673,3.4986e-06
13,0.04,0.040628,0.153828,2.26705e-06
13,0.045,0.0452369,0.170856,0.00154891
13,0.05,0.0511811,0.188505,3.21777e-06
13,0.055,0.0562939,0.205825,0.00028364
